hindi word	english translation	type	gender	examples	image	audio	category	subcategory	is_translit
समाचार पत्र प्रकाशक	newspaper publisher			एक समाचार पत्र प्रकाशक विषय सूची के लिए जिम्मेदार होना चाहिए; the newspaper publisher must be responsible for the content	image23.jpeg	audio23.mp3	Business and Industry	Media	
रिपोर्ट	report	noun	masc	व्यापार रिपोर्ट; business report	image24.jpeg	audio24.mp3	Business and Industry	Media	TRUE
जमा करना	to submit	verb		अंतिम तारीख तक आपकी कहानियाँ जमा करना महत्त्वपूर्ण है; It is important to submit your stories by the deadline	image25.jpeg	audio25.mp3	Business and Industry	Media	
समाचार	news	noun	masc	मैं हर दोपहर को रेडियो पर समाचार सुनती हूँ; I listen to the news on the radio every afternoon	image26.jpeg	audio26.mp3	Business and Industry	Media	
पत्रिका	magazine	noun	fem	एक पत्रिका पढ़ना; read a magazine	image27.jpeg	audio27.mp3	Business and Industry	Media	
टी वी स्टेशन	TV station	noun		टी वी स्टेशन का स्टूडियो; TV station studio	image28.jpeg	audio28.mp3	Business and Industry	Media	
संपादित करना	to edit	verb		एक कंप्यूटर पर वीडियो संपादित करनाl; edit video on a computer	image29.jpeg	audio29.mp3	Business and Industry	Media	
कार्यक्रम	program	noun	masc	टेलिविजन कार्यक्रम; television program	image30.jpeg	audio30.mp3	Business and Industry	Media	
चैनल	channel	noun	masc	टेलिविजन समाचार चैनल; television news channel	image31.jpeg	audio31.mp3	Business and Industry	Media	TRUE
जानकारी	information	noun	masc	मैं इंटरनेट से जानकारी इकठ्ठा करती हूँ; I gather information from the internet	image32.jpeg	audio32.mp3	Business and Industry	Media	
इंटरनेट	Internet	noun	masc	वर्ल्ड वाइड इंटरनेट; world wide internet	image33.jpeg	audio33.mp3	Business and Industry	Media	TRUE
प्रसारित करना	to transmit	verb		उपग्रह द्वारा एक सिग्नल प्रसारित करना; transmit a signal by satellite	image34.jpeg	audio34.mp3	Business and Industry	Media	
प्रसारण करना	to broadcast	verb		समाचार प्रसारण करना; to broadcast news	image35.jpeg	audio35.mp3	Business and Industry	Media	
केंद्र	station	noun	masc		image36.jpeg	audio36.mp3	Business and Industry	Media	
संचार माध्यम	media	noun			image37.jpeg	audio37.mp3	Business and Industry	Media	
चेयरमन	chairman	noun	masc	चेर्मन ने हम सब को मीटिंग में भाग लेने का अनुरोध किया; The chairman made the request that we all attend the meeting	image38.jpeg	audio38.mp3	Business and Industry	Meetings	TRUE
निर्वचक	interpreter	noun	masc	हमें एक निर्वचक चाहिए; we need an interpreter	image39.jpeg	audio39.mp3	Business and Industry	Meetings	
विनोदी	humorous	adjective		विनोदी कहानी; humorous story	image40.jpeg	audio40.mp3	Business and Industry	Meetings	
मज़ाक	joke	noun	masc	उसे मेरा मज़ाक समझ में नहीं आया; he didn't understand my joke	image41.jpeg	audio41.mp3	Business and Industry	Meetings	
मत	impression	noun	masc	पहला मत; first impression	image42.jpeg	audio42.mp3	Business and Industry	Meetings	
सोचने का तरीका	way of thinking	noun		यह नयी योजना मेरे सोचने के तरीके के विरुद्ध है; This new plan goes against my way of thinking	image43.jpeg	audio43.mp3	Business and Industry	Meetings	
आपत्ति	objection	noun	masc	कोई आपत्ति नहीं है; I have no objectio	image44.jpeg	audio44.mp3	Business and Industry	Meetings	
महत्वपूर्ण	important	adjective		सुबह का नाश्ता दिन का सबसे महत्वपूर्ण भोजन होता है; Breakfast is the most important meal of the day	image45.jpeg	audio45.mp3	Business and Industry	Meetings	
वकील	lawyer	noun	masc	एक अदालत में वकील; lawyer in a courtroom	image46.jpeg	audio46.mp3	Business and Industry	Meetings	
बातचीत	negotiation	noun	fem		image47.jpeg	audio47.mp3	Business and Industry	Meetings	
बैठक	meeting	noun	fem		image48.jpeg	audio48.mp3	Business and Industry	Meetings	
लेखाधिकारी	accountant	noun	masc	मेरा लेखाधिकारी मेरे खर्चे और बिल मुझ से बहतर समझता है; My accountant understands my expenses and bills better than I do	image49.jpeg	audio49.mp3	Business and Industry	Meetings	
बोर्डरूम	boardroom	noun	masc	बोर्डरूम में टेबल और कुर्सियाँ; table and chairs in the boardroom	image50.jpeg	audio50.mp3	Business and Industry	Meetings	TRUE
अनुवादक	translator	noun	masc	मैं पहले एक फ्रांसीसी अनुवादक थी; I was a French translator before	image51.jpeg	audio51.mp3	Business and Industry	Meetings	
ओजस्वी	energetic	adjective		ओजस्वी वक्ता; energetic speaker	image52.jpeg	audio52.mp3	Business and Industry	Meetings	
चर्चा	discussion	noun		व्यापार के बारे में चर्चा; discussion about business	image53.jpeg	audio53.mp3	Business and Industry	Meetings	
मुलाकात करना	to meet	verb		उस अचल संपत्ति एजंट ने एक ग्राहक से मुलाकात की; the real estate agent met the client	image54.jpeg	audio54.mp3	Business and Industry	Meetings Actions	
बनाए रखना	to maintain	verb		व्यवस्था बनाए रखना; to maintain order	image55.jpeg	audio55.mp3	Business and Industry	Meetings Actions	
तय करना	to decide	verb		एक लाईट बल्ब तय करनाl; to decide on a light bulb	image56.jpeg	audio56.mp3	Business and Industry	Meetings Actions	
विरोध करना	to oppose	verb		जिन कार्यों से आप असहमत हैं उनका विरोध करना ठीक है; lt is okay to oppose actions you disagree with	image57.jpeg	audio57.mp3	Business and Industry	Meetings Actions	
सहमत होना	to agree	verb		आप सब के साथ सारी बातों पर सहमत नहीं हो सकते; You can't agree with everyone about everything	image58.jpeg	audio58.mp3	Business and Industry	Meetings Actions	
अनुमोदन करना	to approve	verb		क्या आप का एक्सटेंशन का आवेदन अनुमोदित हो गया; Was your application for an extension approved already	image59.jpeg	audio59.mp3	Business and Industry	Meetings Actions	
निंदा करना	to criticise	verb		किसी की योजना की निंदा करने का एक सभ्य तरीका होता है; There is a polite way to criticize someone else's plans	image60.jpeg	audio60.mp3	Business and Industry	Meetings Actions	
समर्थन करना	to support	verb		मैं वर्तमान राजनैतिक दल का समर्थन करती हूँ; I support the current political party	image61.jpeg	audio61.mp3	Business and Industry	Meetings Actions	
योजना बनाना	to plan	verb		बजट की योजना बनाना; to plan the budget	image62.jpeg	audio62.mp3	Business and Industry	Meetings Actions	
विश्वास करना	to believe	verb		मैं उस कहानी का विश्वास नहीं कर सकती; I can't believe that story	image63.jpeg	audio63.mp3	Business and Industry	Meetings Actions	
अनुसंधान	research	noun	masc	अनुसंधान प्रयोगशाला; the research lab	image64.jpeg	audio64.mp3	Business and Industry	Meetings Actions	
निवेदन	request	noun	masc	आपका क्या निवेदन है?; what's your request?	image65.jpeg	audio65.mp3	Business and Industry	Meetings Actions	
समझाना	to explain	verb		वह प्राध्यापक आकृती को समझाता हैl; the professor explains the diagram	image66.jpeg	audio66.mp3	Business and Industry	Meetings Actions	
बदलना	to change	verb		वह रिमोट कंट्रोल से चैनल बदल रही है; She is changing the channel with the remote control	image67.jpeg	audio67.mp3	Business and Industry	Meetings Actions	
समझौता करना	to negotiate	verb		वे दो व्यापारी एक समझौता कर रहे है; The two businessmen are negotiating a deal	image68.jpeg	audio68.mp3	Business and Industry	Meetings Actions	
सुनायी देना	to hear	verb		एक आवाज़ सुनायी देना; to hear a sound	image69.jpeg	audio69.mp3	Business and Industry	Meetings Actions	
असहमत होना	to disagree	verb		किसी बात पर असहमत होना; to disagree on something	image70.jpeg	audio70.mp3	Business and Industry	Meetings Actions	
घोषणा करना	to announce	verb		आज कम्पनी के नयी योजना की घोषणा की और सभी चकित हो गए; The company announced the new plan, and everyone was shocked	image71.jpeg	audio71.mp3	Business and Industry	Meetings Actions	
एक मीटिंग लेना	to hold a meeting	verb		प्रतिदिन मीटिंग लेने की जरूरत नहीं है; there is no need to hold a meeting every day	image72.jpeg	audio72.mp3	Business and Industry	Meetings Actions	TRUE
प्रस्तुत करना	to put forward	verb		उसने इस विषय पर अपना विरोध प्रस्तुत किया; he put forward his objections on this point	image73.jpeg	audio73.mp3	Business and Industry	Meetings Actions	
संशोधित करना	to revise	verb		एक हस्तलिपि को संशोधित करना; to revise a manuscript	image74.jpeg	audio74.mp3	Business and Industry	Meetings Actions	
घटना	to decrease	verb		खेती करने वाले लोगों की संख्या घट रही है; The number of people who farm is decreasing	image75.jpeg	audio75.mp3	Business and Industry	Production	
माल	material	noun	masc	पैंट के लिए कच्चा माल यहाँ है; The raw material for the pants is here	image76.jpeg	audio76.mp3	Business and Industry	Production	
निर्देशक	director	noun	masc	वह मेरे कंपनी का निर्देशक है; he's the director of my company	image77.jpeg	audio77.mp3	Business and Industry	Production	
कारखाना	the factory	noun	masc	पूर्णकालिक कारखाने का कर्मचारी; full time factory worker	image78.jpeg	audio78.mp3	Business and Industry	Production	
उत्पादन	output	noun	masc	नये प्रबंधक के कार्य ग्रहण करने के बाद से कारखाने का उत्पादन गिर गया है; Output of the factory has fallen since the new managers took over	image79.jpeg	audio79.mp3	Business and Industry	Production	
कार्यबल	workforce	noun	masc	कार्यबल में आधे पुरुष और आधी महिलाएँ है; The workforce is half men and half women	image80.jpeg	audio80.mp3	Business and Industry	Production	
कर्मचारी	employee	noun	masc	वे कर्मचारी बोर्डरूम में मीटिंग कर रहे हैं; The employees are having a meeting in the boardroom	image81.jpeg	audio81.mp3	Business and Industry	Production	
पुर्जा	part	noun	masc	नये पुर्जे के बिना हम और मशीन नहीं बना सकते; Without the new part we can't make anymore widgets	image82.jpeg	audio82.mp3	Business and Industry	Production	
मशीन	machine	noun	fem	इंस्टंट कॉफी की मशीन; instant coffee machine	image83.jpeg	audio83.mp3	Business and Industry	Production	TRUE
सीमेंट	cement	noun	masc	सीमेंट का फ़र्श; cement floor	image84.jpeg	audio84.mp3	Business and Industry	Production	TRUE
कोयला	coal	noun	masc	कोयले की खान; coal mine	image85.jpeg	audio85.mp3	Business and Industry	Production	
गैस	gas	noun	fem	गैस हीटर; gas heater	image86.jpeg	audio86.mp3	Business and Industry	Production	TRUE
बिजली	electricity	noun	fem	बिजली बंद कर के विद्युत बचाए; Let's save electricity by turning off the power	image87.jpeg	audio87.mp3	Business and Industry	Production	
निवेश	input	noun	masc	सामग्री निवेश; data input	image88.jpeg	audio88.mp3	Business and Industry	Production	
निर्यात	export	noun	masc	हमारे उत्पाद का निर्यात करना; export our products	image89.jpeg	audio89.mp3	Business and Industry	Production	
आयात	import	noun	masc	कपास का आयात ; imported cotto	image90.jpeg	audio90.mp3	Business and Industry	Production	
कार	car	noun	fem	वह कुत्ता कार में चढ़ रहा है; the dog is getting in the ca	image91.jpeg	audio91.mp3	Business and Industry	Production	TRUE
मोटर गाड़ी	car	noun	fem	मोटर गाड़ी का कारखाना; car factory	image92.jpeg	audio92.mp3	Business and Industry	Production	
कृषि	agriculture	noun	fem	कृषि उत्पाद; agriculture product	image93.jpeg	audio93.mp3	Business and Industry	Production	
कपड़ा-उद्योग	textile	noun	masc	कपड़ा-उद्योग का कारखाना; textile factory	image94.jpeg	audio94.mp3	Business and Industry	Production	
मछली पकड़ना	fishing	noun		सामा मछली पकड़ना; salmon fishing	image95.jpeg	audio95.mp3	Business and Industry	Production	
पर्यटन	tourism	noun	masc	यहाँ पर पर्यटन उद्योग अर्थव्यवस्था का एक मुख्य साधन है; The tourism industry is one of the main sources of the economy here	image96.jpeg	audio96.mp3	Business and Industry	Production	
गैसोलीन	gasoline	noun	masc	गैसोलीन की कीमत बढ़ रही है; the price of gasoline is rising	image97.jpeg	audio97.mp3	Business and Industry	Production	TRUE
स्कार्फ	scarf	noun	masc	एक लाल स्कार्फ उस टोपी के साथ अच्छी लगेगी; A red scarf would look nice with that hat	image98.jpeg	audio98.mp3	Clothing and Accessories	Accessories	TRUE
टोपी	hat	noun	fem	काली टोपी; black hat	image99.jpeg	audio99.mp3	Clothing and Accessories	Accessories	
दस्ताने	glove	noun	masc	कृपया दस्ताने पहन लीजिएl; please put on gloves	image100.jpeg	audio100.mp3	Clothing and Accessories	Accessories	
कलाई घड़ी	wristwatch	noun	fem	एक कलाई घड़ी आसानी से पहने जाने वाली चीज़ है; A wristwatch is a convenient item to wear	image101.jpeg	audio101.mp3	Clothing and Accessories	Accessories	
चश्मा	eyeglasses	noun	masc	निर्देश के अनुसार चश्मा; prescription eyeglasses	image102.jpeg	audio102.mp3	Clothing and Accessories	Accessories	
हार	necklace	noun	fem	मोतियों का हार; pearl necklace	image103.jpeg	audio103.mp3	Clothing and Accessories	Accessories	
घड़ी	watch	noun	fem		image104.jpeg	audio104.mp3	Clothing and Accessories	Accessories	
बेल्ट	belt	noun	masc	भूरे रंग का चमड़े का बेल्ट; brown leather belt	image105.jpeg	audio105.mp3	Clothing and Accessories	Accessories	TRUE
छाता	umbrella	noun	masc	मेरे पास छाता नहीं है और बारिश गिर रही है; I don't have an umbrella and it's raining	image106.jpeg	audio106.mp3	Clothing and Accessories	Accessories	
बालियाँ	earring	noun	fem	हाथ से बनी बालियाँ; hand-made earrings	image107.jpeg	audio107.mp3	Clothing and Accessories	Accessories	
धूप का चश्मा	sunglasses	noun	masc	यह धूप का चश्मा नया है; these sunglasses are new	image108.jpeg	audio108.mp3	Clothing and Accessories	Accessories	
हैंगर	hanger	noun	masc	मुझे एक कोट हैंगर दीजिये; give me a coat hange	image109.jpeg	audio109.mp3	Clothing and Accessories	Accessories	TRUE
जैकेट	jacket	noun	masc	सर्दियों में पहनने वाला जैकेट; winter jacket	image110.jpeg	audio110.mp3	Clothing and Accessories	Clothing	TRUE
ओवरकोट	overcoat	noun	masc	काला ओवरकोट; black overcoat	image111.jpeg	audio111.mp3	Clothing and Accessories	Clothing	TRUE
स्वेटर	sweater	noun	masc	हरे रंग का स्वेटर; green sweater	image112.jpeg	audio112.mp3	Clothing and Accessories	Clothing	TRUE
जींस	jeans	noun	masc	जींस डेनिम से बनती है; jeans are made from denim	image113.jpeg	audio113.mp3	Clothing and Accessories	Clothing	TRUE
शर्ट	shirt	noun	masc	सिल्क का शर्ट; silk shirt	image114.jpeg	audio114.mp3	Clothing and Accessories	Clothing	TRUE
पैंट	pants	noun	masc	मैंने अपनी पैंट उतारी; I took off my pants	image115.jpeg	audio115.mp3	Clothing and Accessories	Clothing	TRUE
ड्रेस	dress	noun	fem	जामुनी रंग का ड्रेस; purple dress	image116.jpeg	audio116.mp3	Clothing and Accessories	Clothing	TRUE
जेब	pocket	noun	masc	आप की जेब में क्या है; what do you have in your pocket?	image117.jpeg	audio117.mp3	Clothing and Accessories	Clothing	
बटन	button	noun	masc	वे लाल बटन इस शर्ट पर अच्छे लगेंगे; The red buttons will look nice on this shirt	image118.jpeg	audio118.mp3	Clothing and Accessories	Clothing	TRUE
इलास्टिक बैंड	elastic band	noun	masc		image119.jpeg	audio119.mp3	Clothing and Accessories	Clothing	TRUE
आस्तीन	sleeve	noun	fem	वह आदमी अपनी आस्तीन ऊपर कर रहा है; The man is rolling up his sleeves	image120.jpeg	audio120.mp3	Clothing and Accessories	Clothing	
कालर	collar	noun	masc	नीले रंग का कालर वाला शर्ट; blue collared dress shirt	image121.jpeg	audio121.mp3	Clothing and Accessories	Clothing	TRUE
कपड़ा	cloth	noun	masc	लकड़ी का फर्नीचर साफ करते समय एक मुलायम सूखे कपड़े का उपयोग कीजिये; Use a soft, dry cloth when dusting wooden furniture	image122.jpeg	audio122.mp3	Clothing and Accessories	Clothing	
टी-शर्ट	T-shirt	noun	masc	नीला टी-शर्टl; blue T-shirt	image123.jpeg	audio123.mp3	Clothing and Accessories	Clothing	TRUE
कोट	coat	noun	masc	सर्दियों में पहनेवाला कोट; winter coat	image124.jpeg	audio124.mp3	Clothing and Accessories	Clothing	TRUE
कपड़े	clothing	noun	fem	कपड़े की दुकान; clothing store	image125.jpeg	audio125.mp3	Clothing and Accessories	Clothing	
छोटी आस्तीन	short-sleeved	adjective		छोटी आस्तीन वाला शर्ट; short-sleeved shirt	image126.jpeg	audio126.mp3	Clothing and Accessories	Clothing	
लंबी आस्तीन	long-sleeved	adjective		लंबी आस्तीन का शर्ट; long-sleeved shirt	image127.jpeg	audio127.mp3	Clothing and Accessories	Clothing	
रेनकोट	raincoat	noun	masc	पीले रंग का रेनकोट; yellow raincoat	image128.jpeg	audio128.mp3	Clothing and Accessories	Clothing	TRUE
स्वेट सूट	sweat suit	noun	masc	उस महिला ने एक स्वेट सूट पहना है; the woman is wearing a sweat suit	image129.jpeg	audio129.mp3	Clothing and Accessories	Clothing	TRUE
वेस्ट	vest	noun	masc	चमड़े का वेस्ट; leather vest	image130.jpeg	audio130.mp3	Clothing and Accessories	Clothing	TRUE
पहनना	to put on	verb		कपड़े पहनो; to put on clothes	image131.jpeg	audio131.mp3	Clothing and Accessories	Clothing Actions	
मेल नहीं होना	to clash	verb		अगर आप यह शर्ट पहनोगे तो आपकी खरीदी हुई पैंट से उसका मेल नहीं होगा; If you wear that shirt it will clash with the pants you bought.	image132.jpeg	audio132.mp3	Clothing and Accessories	Clothing Actions	
कपड़े धोना	to wash clothes	verb		वह महिला वॉशिंग मशीन में कपड़े धो रही है; The woman is washing clothes in the washing machine	image133.jpeg	audio133.mp3	Clothing and Accessories	Clothing Actions	
सिलाई करना	to sew	verb		कपड़े सीना; sewing clothes	image134.jpeg	audio134.mp3	Clothing and Accessories	Clothing Actions	
मरम्मत करना	to mend	verb		वह व्यक्ति कपड़े की मरम्मत कर रहा है; the person is mending the cloth	image135.jpeg	audio135.mp3	Clothing and Accessories	Clothing Actions	
बुनना	to knit	verb		एक टोपी बुनना; to knit a hat	image136.jpeg	audio136.mp3	Clothing and Accessories	Clothing Actions	
उतारना	to take off	verb		उस वकील ने अपने कपड़े उतारे; the lawyer took off his clothes	image137.jpeg	audio137.mp3	Clothing and Accessories	Clothing Actions	
धोना	to wash	verb		वॉशिंग मशीन में कपड़े धोना; to wash clothes in the washing machine	image138.jpeg	audio138.mp3	Clothing and Accessories	Clothing Actions	
पहनकर देखना	to try on	verb		उस आदमी ने सूट पहन कर देखा; The man tried on the suit	image139.jpeg	audio139.mp3	Clothing and Accessories	Clothing Actions	
रंगना	to dye	verb		अपने बाल रंगना; to dye one's hair	image140.jpeg	audio140.mp3	Clothing and Accessories	Clothing Actions	
फिटिंग करना	to fit a garment	verb			image141.jpeg	audio141.mp3	Clothing and Accessories	Clothing Actions	TRUE
मेल खाना	to match	verb			image142.jpeg	audio142.mp3	Clothing and Accessories	Clothing Actions	
मैच	to match	verb			image143.jpeg	audio143.mp3	Clothing and Accessories	Clothing Actions	TRUE
माप	size	noun	fem	आप कौनसे माप की पैंट पहनते हो?; What size pants do you wear?; माप लेना; measure size	image_144.jpeg	audio_144.mp3	Clothing and Accessories	Clothing Describing	
स्टाइल	style	noun	masc	अच्छा स्टाइल; cool style; कुछ लोग अपने खुद का एक स्टाइल बनाते है|; Some people develop a style of their own.	image_145.jpeg	audio_145.mp3	Clothing and Accessories	Clothing Describing	TRUE
फैशन परस्त	fashionable	adjective		फैशन परस्त स्कार्फ; fashionable scarf	image_146.jpeg	audio_146.mp3	Clothing and Accessories	Clothing Describing	
ढीला	loose	adjective		ढीली फिटिंग; loose fitting; ढीले कपड़े पहनने से आप चौड़े दिख सकते हो|; A loose fitting garment can make you look larger.	image_147.jpeg	audio_147.mp3	Clothing and Accessories	Clothing Describing	
तंग	tight	adjective		वह कपड़ा बहुत ज्यादा तंग है|; This clothing is too tight.; यह बूट बहुत ज्यादा तंग है|; These boots are too tight.; तंग फिट; tight fit	image_148.jpeg	audio_148.mp3	Clothing and Accessories	Clothing Describing	
स्वच्छ	neat	adjective		मेरे बेटे का कमरा स्वच्छ है मगर मेरी बेटी का कमरा अस्तव्यस्त है|; My son's room is neat, but daughter's room is messy.; स्वच्छ डेस्क; neat desk	image_149.jpeg	audio_149.mp3	Clothing and Accessories	Clothing Describing	
रेशम	silk	noun	fem	रेशम का कपड़ा; silk clothing; यह ब्रेसियर रेशम से बनी है|; This brassiere is made from silk.	image_150.jpeg	audio_150.mp3	Clothing and Accessories	Clothing Describing	
मुलायम	soft	adjective		मुलायम तौलिये; soft towels; उसके नये नहाने के तौलिये मुलायम कपास से बने थे|; Her new bath towels were made of soft cotton.	image_151.jpeg	audio_151.mp3	Clothing and Accessories	Clothing Describing	
सूती	cotton	adjective		नीला टी-शर्ट सूत से बना है|; The blue T-shirt is made from cotton.; सूती तौलिया; cotton towel; सूती टी-शर्ट; cotton T-shirt	image_152.jpeg	audio_152.mp3	Clothing and Accessories	Clothing Describing	
ऊन	wool	noun	masc	बुनने वाला ऊन और काँटे; knitting wool and needles; ऊन का गोला; ball of wool; ऊन भेड़ की खाल से निकाला जाता है|; Wool is derived from sheared sheep fur.	image_153.jpeg	audio_153.mp3	Clothing and Accessories	Clothing Describing	
सन	linen	noun	masc	सन से बना तौलिया और चादर; linen towels and sheets; उस कपड़े के कारखाने में कपास, सन और रेशम के कपड़े बनाए जाते है|; The textile factory creates fabrics from cotton, linen and silk.	image_154.jpeg	audio_154.mp3	Clothing and Accessories	Clothing Describing	
छोटा	short	adjective		छोटा और लंबा; short and tall; वह पिता लंबा है मगर बेटा छोटा है|; The father is tall, but the son is short.	image_155.jpeg	audio_155.mp3	Clothing and Accessories	Clothing Describing	
ब्रॉण्ड	brand	noun	masc	ब्रॉण्ड का नाम; brand name; आप कौन से ब्रॉण्ड का कंप्यूटर ढूँढ रहे हो ?; Which brand of computer are you looking for?	image_156.jpeg	audio_156.mp3	Clothing and Accessories	Clothing Describing	TRUE
छोटी आस्तीन	short-sleeved	adjective		छोटी आस्तीन वाला शर्ट; short-sleeved shirt; लाल, छोटी आस्तीन वाला टी-शर्ट; red, short-sleeved T-shirt; छोटी आस्तीन वाले शर्ट गर्मी के समय अच्छे होते है|; Short-sleeved shirts are better when it is warm.	image_157.jpeg	audio_157.mp3	Clothing and Accessories	Clothing Describing	
लंबी आस्तीन	long-sleeved	adjective		लंबी आस्तीन का शर्ट; long-sleeved shirt; लंबी आस्तीन के शर्ट ठंडे मौसम में अच्छे होते है|; Long-sleeved shirts are good for cold weather.; सफ़ेद लंबी आस्तीन वाला शर्ट; white, long-sleeved shirt	image_158.jpeg	audio_158.mp3	Clothing and Accessories	Clothing Describing	
स्मॉल	small (S)	adjective		स्मॉल (एस); small (S); स्मॉल साइज़; size small; वह लड़का स्मॉल साइज़ का शर्ट पहनता है|; The young boy wears a small size shirt.	image_159.jpeg	audio_159.mp3	Clothing and Accessories	Clothing Describing	TRUE
मीडियम	medium	adjective		मीडियम साइज़; size medium; जब मेरा वजन कम होता है तब मैं एक मीडियम शर्ट पहनती हूँ|; When I lose weight I wear a medium shirt.	image_160.jpeg	audio_160.mp3	Clothing and Accessories	Clothing Describing	TRUE
लार्ज	Large (L)	adjective		एल साइज़; L size; लार्ग साइज़; large size	image_161.jpeg	audio_161.mp3	Clothing and Accessories	Clothing Describing	TRUE
एक्स्ट्रा लार्ज	Extra Large (XL)	adjective		एक्स एल; XL; एक्स्ट्रा लार्ज साइज़; size XL; जिन लोगों का शरीर बड़ा होता है वे एक्स एल कपड़े पहनते है|; People that are big wear size XL clothing.	image_162.jpeg	audio_162.mp3	Clothing and Accessories	Clothing Describing	TRUE
हस्त निर्मित	handmade	adjective		हस्त निर्मित शर्ट; handmade shirt; हस्त निर्मित बैग बहुत महँगे होते है|; Handmade bags can be very expensive.	image_163.jpeg	audio_163.mp3	Clothing and Accessories	Clothing Describing	
टाई	necktie	noun	masc	शर्ट और टाई में आदमी खड़ा है|; The man in the shirt and tie is standing.; सूट और टाई; suit and tie; पैटर्न नेकटाई; pattern necktie	image_164.jpeg	audio_164.mp3	Clothing and Accessories	Clothing Formal	TRUE
सूट	suit	noun	masc	सूट और टाई; suit and tie; काला सूट, नीला शर्ट और गुलाबी नेकटाई; black suit, blue shirt, and pink necktie; सूट प्रदर्शन पर है|; The suit is on display.; कार्यालय में बॉस के अलावा सभी सूट पहनते है|; Everyone at the office wears a suit, except the boss.	image_166.jpeg	audio_166.mp3	Clothing and Accessories	Clothing Formal	TRUE
नेकटाई	necktie	noun	masc	पैटर्न नेकटाई; pattern necktie; लाल, पट्टेवाली  नेकटाई; red, striped necktie; वह आदमी पट्टेवाली नेकटाई बाँध रहा है|; The man is tying a striped necktie.	image_167.jpeg	audio_167.mp3	Clothing and Accessories	Clothing Formal	TRUE
